url,img,name,img_ratio
https://www.adaptcentre.ie/about,adapt_logo.png,,24/18
https://www.turing.ac.uk/,alan_turing_institute_logo.png,,38/16
http://wiki.dbpedia.org/,dbpedia_logo.png,,32/20
https://www.fiz-karlsruhe.de/,fiz_logo.png,,71/16
http://www.gfwm.at/,gfwm_logo.png,,40/16
https://www.kcl.ac.uk/,kings_college_london_logo.png,,28/16
http://www.kit.edu,kit_logo.png,KIT-Karlsruhe Institute of Technology,32/16
http://www.knvi.nl,knvi_logo.png,,43/16
https://www.tib.eu/en/,tib_logo.png,,24/16
https://www.vienna.convention.at/en/meeting-destination,mdv_logo.jpg,,20/20
https://www.ordina.com/en/,ordina_logo.png,,57/16
http://www.pilod.nl/,pilod_logo.png,,15/20
https://www.upm.es,internacional_logo.png,,20/20
https://www.uva.nl/,uoa_logo.png,,57/16
https://www.informatik.uni-bonn.de/de,uni_bonn_logo.png,,42/16
https://viennabusinessagency.at/,wa_kombi_logo.png,,20/20
http://www.wolterskluwer.de,logo-wolters-kluwer.png,,64/10
https://www.knowledgegraph.tech,kgc_2024.jpg,,50/50
