type,url,img,name,img_ratio
gold,https://semantic-web.com/,pp.svg,Semantic Web Company,64/16
gold,https://pantopix.com,pantopix.png,Pantopix,64/16
gold,https://www.topquadrant.com/,topquadrant.png,TopQuadrant,68/28
gold,https://metaphacts.com/,metaphacts.png,metaphacts,48/28
silver,https://the-qa-company.com/,qa.png,The QA Company,28/28
silver,https://www.ontotext.com/,ontotext.png,Ontotext,54/14
silver,https://www.gnoss.com/,gnoss.svg,gnoss,40/10
silver,https://twitter.com/IOLAR_lsp,iolar.png,IOLAR,40/10
silver,https://neo4j.com/,neo4j.png,neo4j,40/14
silver,https://www.oxfordsemantic.tech/,ost.svg,OST,48/16
silver,https://www.cogni.zone/,cognizone.png,cognizone,54/16
silver,https://www.e2f.com/,e2f.png,e2f,48/14
bronze,https://www.rws.com/,rws.png,RWS,48/12
startup,https://karakun.com,karakun.png,Karakun,28/28
startup,https://www.semanticpartners.com,sp.png,Semantic Partners,28/28
startup,https://triplydb.com/,triply.png,triply,42/16
